TITLE     = ""
VARIABLES = "X" 
"Y"
"Cell Elevation"
ZONE T="ZONE 001"
 STRANDID=0, SOLUTIONTIME=0
 I=1610, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE )
1.041969967E+001 1.314449978E+001 3.020100117E+000 
9.701099396E+000 1.314449978E+001 3.019999981E+000 
8.982500076E+000 1.314449978E+001 3.215100050E+000 
8.263899803E+000 1.314449978E+001 3.328000069E+000 
7.545300007E+000 1.314449978E+001 3.466900110E+000 
6.826699734E+000 1.314449978E+001 3.641000032E+000 
6.108100414E+000 1.314449978E+001 3.806299925E+000 
5.389500141E+000 1.314449978E+001 3.806299925E+000 
4.670899868E+000 1.314449978E+001 3.882299900E+000 
3.952300549E+000 1.314449978E+001 3.882299900E+000 
3.233700275E+000 1.314449978E+001 3.831799984E+000 
2.515100002E+000 1.314449978E+001 3.831799984E+000 
1.796499610E+000 1.314449978E+001 3.831799984E+000 
1.077900290E+000 1.314449978E+001 3.861900091E+000 
3.592990935E-001 1.314449978E+001 3.862799883E+000 
1.616850090E+001 1.428750038E+001 4.128099918E+000 
1.544989967E+001 1.428750038E+001 4.021599770E+000 
1.473130035E+001 1.428750038E+001 3.761399984E+000 
1.401270008E+001 1.428750038E+001 3.761399984E+000 
1.329409981E+001 1.428750038E+001 3.460000038E+000 
1.257549953E+001 1.428750038E+001 3.244699955E+000 
1.185690022E+001 1.428750038E+001 3.140100002E+000 
1.113829994E+001 1.428750038E+001 3.076600075E+000 
1.041969967E+001 1.428750038E+001 3.062700033E+000 
9.701099396E+000 1.428750038E+001 3.019999981E+000 
8.982500076E+000 1.428750038E+001 3.078000069E+000 
8.263899803E+000 1.428750038E+001 3.337800026E+000 
7.545300007E+000 1.428750038E+001 3.461400032E+000 
6.826699734E+000 1.428750038E+001 3.568300009E+000 
6.108100414E+000 1.428750038E+001 3.752599955E+000 
5.389500141E+000 1.428750038E+001 3.854899883E+000 
4.670899868E+000 1.428750038E+001 3.854899883E+000 
3.952300549E+000 1.428750038E+001 3.872100115E+000 
3.233700275E+000 1.428750038E+001 3.872100115E+000 
2.515100002E+000 1.428750038E+001 3.846100092E+000 
1.796499610E+000 1.428750038E+001 3.854899883E+000 
1.077900290E+000 1.428750038E+001 3.855400085E+000 
3.592990935E-001 1.428750038E+001 3.855400085E+000 
1.616850090E+001 1.543050003E+001 3.960999966E+000 
1.544989967E+001 1.543050003E+001 3.960999966E+000 
1.473130035E+001 1.543050003E+001 3.960999966E+000 
1.401270008E+001 1.543050003E+001 3.761399984E+000 
1.329409981E+001 1.543050003E+001 3.518800020E+000 
1.257549953E+001 1.543050003E+001 3.266000032E+000 
1.185690022E+001 1.543050003E+001 3.266000032E+000 
1.113829994E+001 1.543050003E+001 3.063699961E+000 
1.041969967E+001 1.543050003E+001 3.048399925E+000 
9.701099396E+000 1.543050003E+001 3.019999981E+000 
8.982500076E+000 1.543050003E+001 3.063199997E+000 
8.263899803E+000 1.543050003E+001 3.194200039E+000 
7.545300007E+000 1.543050003E+001 3.404000044E+000 
6.826699734E+000 1.543050003E+001 3.469300032E+000 
6.108100414E+000 1.543050003E+001 3.705399990E+000 
5.389500141E+000 1.543050003E+001 3.839699984E+000 
4.670899868E+000 1.543050003E+001 3.839699984E+000 
3.952300549E+000 1.543050003E+001 3.839699984E+000 
3.233700275E+000 1.543050003E+001 3.872499943E+000 
2.515100002E+000 1.543050003E+001 3.846100092E+000 
1.796499610E+000 1.543050003E+001 3.846100092E+000 
1.077900290E+000 1.543050003E+001 3.851200104E+000 
3.592990935E-001 1.543050003E+001 3.851200104E+000 
1.616850090E+001 1.657349968E+001 4.111899853E+000 
1.544989967E+001 1.657349968E+001 3.995699883E+000 
1.473130035E+001 1.657349968E+001 3.770699978E+000 
1.401270008E+001 1.657349968E+001 3.770699978E+000 
1.329409981E+001 1.657349968E+001 3.518800020E+000 
1.257549953E+001 1.657349968E+001 3.264600039E+000 
1.185690022E+001 1.657349968E+001 3.264600039E+000 
1.113829994E+001 1.657349968E+001 3.059999943E+000 
1.041969967E+001 1.657349968E+001 3.025700092E+000 
9.701099396E+000 1.657349968E+001 3.022599936E+000 
8.982500076E+000 1.657349968E+001 3.032599926E+000 
8.263899803E+000 1.657349968E+001 3.136800051E+000 
7.545300007E+000 1.657349968E+001 3.265500069E+000 
6.826699734E+000 1.657349968E+001 3.437299967E+000 
6.108100414E+000 1.657349968E+001 3.705399990E+000 
5.389500141E+000 1.657349968E+001 3.705399990E+000 
4.670899868E+000 1.657349968E+001 3.818799973E+000 
3.952300549E+000 1.657349968E+001 3.872499943E+000 
3.233700275E+000 1.657349968E+001 3.872499943E+000 
2.515100002E+000 1.657349968E+001 3.844799995E+000 
1.796499610E+000 1.657349968E+001 3.844799995E+000 
1.077900290E+000 1.657349968E+001 3.835500002E+000 
3.592990935E-001 1.657349968E+001 3.833199978E+000 
1.616850090E+001 1.771649933E+001 4.028999805E+000 
1.544989967E+001 1.771649933E+001 4.028999805E+000 
1.473130035E+001 1.771649933E+001 3.782200098E+000 
1.401270008E+001 1.771649933E+001 3.782200098E+000 
1.329409981E+001 1.771649933E+001 3.505800009E+000 
1.257549953E+001 1.771649933E+001 3.230400085E+000 
1.185690022E+001 1.771649933E+001 3.230400085E+000 
1.113829994E+001 1.771649933E+001 3.099299908E+000 
1.041969967E+001 1.771649933E+001 3.046999931E+000 
9.701099396E+000 1.771649933E+001 3.020200014E+000 
8.982500076E+000 1.771649933E+001 3.019999981E+000 
8.263899803E+000 1.771649933E+001 3.165999889E+000 
7.545300007E+000 1.771649933E+001 3.296999931E+000 
6.826699734E+000 1.771649933E+001 3.413700104E+000 
6.108100414E+000 1.771649933E+001 3.650300026E+000 
5.389500141E+000 1.771649933E+001 3.650300026E+000 
4.670899868E+000 1.771649933E+001 3.818799973E+000 
3.952300549E+000 1.771649933E+001 3.818799973E+000 
3.233700275E+000 1.771649933E+001 3.844799995E+000 
2.515100002E+000 1.771649933E+001 3.844799995E+000 
1.796499610E+000 1.771649933E+001 3.844799995E+000 
1.077900290E+000 1.771649933E+001 3.827600002E+000 
3.592990935E-001 1.771649933E+001 3.826699972E+000 
1.616850090E+001 1.885950089E+001 4.166100025E+000 
1.544989967E+001 1.885950089E+001 3.997100115E+000 
1.473130035E+001 1.885950089E+001 3.787300110E+000 
1.401270008E+001 1.885950089E+001 3.787300110E+000 
1.329409981E+001 1.885950089E+001 3.506299973E+000 
1.257549953E+001 1.885950089E+001 3.506299973E+000 
1.185690022E+001 1.885950089E+001 3.229000092E+000 
1.113829994E+001 1.885950089E+001 3.101599932E+000 
1.041969967E+001 1.885950089E+001 3.046099901E+000 
9.701099396E+000 1.885950089E+001 3.030800104E+000 
8.982500076E+000 1.885950089E+001 3.019999981E+000 
8.263899803E+000 1.885950089E+001 3.076200008E+000 
7.545300007E+000 1.885950089E+001 3.241499901E+000 
6.826699734E+000 1.885950089E+001 3.382200003E+000 
6.108100414E+000 1.885950089E+001 3.566499949E+000 
5.389500141E+000 1.885950089E+001 3.566499949E+000 
4.670899868E+000 1.885950089E+001 3.743799925E+000 
3.952300549E+000 1.885950089E+001 3.743799925E+000 
3.233700275E+000 1.885950089E+001 3.807699919E+000 
2.515100002E+000 1.885950089E+001 3.769700050E+000 
1.796499610E+000 1.885950089E+001 3.769700050E+000 
1.077900290E+000 1.885950089E+001 3.769700050E+000 
3.592990935E-001 1.885950089E+001 3.793800116E+000 
1.616850090E+001 2.000250053E+001 4.103099823E+000 
1.544989967E+001 2.000250053E+001 3.997100115E+000 
1.473130035E+001 2.000250053E+001 3.997100115E+000 
1.401270008E+001 2.000250053E+001 3.784100056E+000 
1.329409981E+001 2.000250053E+001 3.531800032E+000 
1.257549953E+001 2.000250053E+001 3.531800032E+000 
1.185690022E+001 2.000250053E+001 3.248399973E+000 
1.113829994E+001 2.000250053E+001 3.101200104E+000 
1.041969967E+001 2.000250053E+001 3.046999931E+000 
